iter	Passed	Remaining
0	1	139
1	2	115
2	3	109
3	4	100
4	5	97
5	6	95
6	7	102
7	8	102
8	10	102
9	12	109
10	13	107
11	14	104
12	15	101
13	17	105
14	18	103
15	19	100
16	20	98
17	21	95
18	22	95
19	26	106
20	28	106
21	29	105
22	30	102
23	31	99
24	32	97
25	33	94
26	34	92
27	35	90
28	36	89
29	37	88
30	39	87
31	40	86
32	42	85
33	43	83
34	43	81
35	44	79
36	45	77
37	46	76
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	67
44	53	65
45	55	64
46	56	63
47	57	62
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	53
54	63	52
55	64	50
56	66	50
57	67	49
58	68	47
59	70	46
60	71	45
61	73	44
62	74	43
63	75	42
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	81	34
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	21
81	93	20
82	95	19
83	96	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	104	11
90	104	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	110	3
97	111	2
98	112	1
99	113	0
